"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HNRNPK",2.12611527494744e-07,0.333884749371089,1,1,0.00224602817645447,"1","HNRNPK"
"TMEM54",2.12645013597523e-07,0.594822221390315,0.966,0.839,0.00224638192364424,"1","TMEM54"
"PANX2",2.1384339299324e-07,1.10410425298225,0.33,0.087,0.00225904160358059,"1","PANX2"
"TIMM10B",2.14640379025965e-07,0.430458059277495,1,0.821,0.0022674609640303,"1","TIMM10B"
"PRIM1",2.14993262748209e-07,0.457957109431963,0.977,0.615,0.00227118882767208,"1","PRIM1"
"ZWINT",2.16860963631049e-07,0.293793874537562,0.977,0.628,0.0022909192197984,"1","ZWINT"
"TMEM168",2.17345961672777e-07,0.578507664703979,0.932,0.638,0.00229604273911121,"1","TMEM168"
"PLEKHA2",2.21389829357932e-07,0.512173379137161,0.943,0.688,0.00233876215733719,"1","PLEKHA2"
"DYRK1A",2.2248233833011e-07,0.274171136429804,0.977,0.862,0.00235030342211928,"1","DYRK1A"
"DHFR2",2.23261106269135e-07,0.321249569546647,0.818,0.445,0.00235853032662714,"1","DHFR2"
"GUK1",2.26904421474217e-07,0.58169734061239,0.989,0.995,0.00239701830845362,"1","GUK1"
"ZNF143",2.29188463984897e-07,0.305102287536378,0.955,0.573,0.00242114693353646,"1","ZNF143"
"ZFYVE26",2.32286762713585e-07,0.546505294997637,0.955,0.624,0.00245387736130631,"1","ZFYVE26"
"LRIF1",2.3239050506163e-07,0.54911059381662,0.955,0.739,0.00245497329547106,"1","LRIF1"
"TNFRSF1B",2.34256215314588e-07,0.325462117067811,0.795,0.454,0.0024746826585833,"1","TNFRSF1B"
"TMEM14A",2.35864209274794e-07,0.525673009741703,1,0.913,0.00249166950677893,"1","TMEM14A"
"SCPEP1",2.38156049325866e-07,0.621135957881706,0.966,0.739,0.00251588050507845,"1","SCPEP1"
"CSTF3",2.38997356349913e-07,0.522737250597409,0.977,0.872,0.00252476807248048,"1","CSTF3"
"C6orf120",2.39600107976301e-07,0.454875301146803,0.773,0.399,0.00253113554066164,"1","C6orf120"
"TPD52",2.42733901645309e-07,0.341713777690003,1,0.899,0.00256424093698104,"1","TPD52"
"RAB40C",2.47025782718069e-07,0.503510477539503,0.852,0.486,0.00260958036863368,"1","RAB40C"
"TIMM13",2.49623478110195e-07,0.413948949968109,1,0.991,0.0026370224227561,"1","TIMM13"
"ST20",2.50637651300067e-07,0.45227770942065,0.92,0.477,0.00264773614833391,"1","ST20"
"CDK3",2.53617654211169e-07,0.400597708649833,0.67,0.307,0.00267921689908679,"1","CDK3"
"ADSS2",2.57015793758697e-07,0.610165057513849,0.989,0.904,0.00271511484526687,"1","ADSS2"
"SERINC4",2.57243432111309e-07,0.436429646623054,0.92,0.514,0.00271751961682387,"1","SERINC4"
"LANCL2",2.57572249529048e-07,0.432252209908097,0.966,0.624,0.00272099324402486,"1","LANCL2"
"E2F3",2.58951727838408e-07,0.449865272175434,0.955,0.638,0.00273556605288494,"1","E2F3"
"TCEANC2",2.59045302319905e-07,0.40943409911483,0.818,0.431,0.00273655457370747,"1","TCEANC2"
"BEX3",2.60776476856961e-07,0.67724816865119,0.909,0.885,0.00275484270151694,"1","BEX3"
"OXR1",2.62429883601811e-07,0.541838151508053,0.989,0.917,0.00277230929036953,"1","OXR1"
"RNF135",2.62579272325425e-07,0.52887077534079,0.966,0.78,0.00277388743284579,"1","RNF135"
"GAB1",2.63335579120394e-07,0.373758596904115,0.807,0.422,0.00278187705782784,"1","GAB1"
"SPC24",2.64390574100659e-07,0.386960660925015,0.977,0.835,0.00279302202479936,"1","SPC24"
"SP1",2.64480125133915e-07,0.468463890397373,0.977,0.784,0.00279396804191467,"1","SP1"
"STOML2",2.67283718935474e-07,0.407319503117339,1,0.968,0.00282358520683434,"1","STOML2"
"LSM1",2.67594917557901e-07,0.505480351478212,1,0.89,0.00282687270908166,"1","LSM1"
"RARG",2.67682085386411e-07,0.5259737712202,0.955,0.665,0.00282779355002205,"1","RARG"
"TTLL4",2.67682085386411e-07,0.492201626386859,0.943,0.67,0.00282779355002205,"1","TTLL4"
"ZNF239",2.6875557779249e-07,0.426116173962636,0.557,0.229,0.00283913392379986,"1","ZNF239"
"DUSP12",2.68964891469992e-07,0.45132441129072,0.989,0.867,0.00284134511348899,"1","DUSP12"
