"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1,1,0.120985142145252,-0.0846986357336785,-0.400910563134953,194,"IDH3A;TIMM9;NQO2;CASP7;AFG3L2;HADHA;NDUFA6;ECI1;RETSAT;ATP5MG;COX10;SLC25A11;PRDX3;PDHB;MTRR;ETFB;GLUD1;ACAT1;SLC25A3;SDHD;TOMM22;UQCRC1;FH;ACO2;ACADVL;CYB5R3;SLC25A20;CYCS;PHB2;VDAC3;NDUFB8;ALDH6A1;ATP5PO;ACAA2;NNT;UQCRFS1;MDH1;ATP5MF;NDUFA2;ATP6V0C;BDH2;ETFA;ATP5F1A;NDUFC2;NDUFC1;COX8A;TIMM8B;OXA1L;ATP5PB;IDH3B;GRPEL1;DECR1;HCCS;NDUFB7;IMMT;COX7A2L;COX7A2;CPT1A;NDUFB6;NDUFS6;ATP5MC2;COX4I1;MDH2;ISCU;UQCR10;NDUFS4;FDX1;TIMM17A;MRPS11;NDUFB3;NDUFA9;BCKDHA;NDUFA7;UQCRB;PMPCA;ATP5F1E;NDUFB1;RHOT2;COX6A1;NDUFB2;GOT2;POLR2F;UQCRH;SDHB;ATP6V1E1;TIMM10;MRPS15;MPC1;DLAT;GPX4;SDHA;PDHA1;COX5A;UQCRQ;SUCLG1;TIMM13;BAX;CYC1;LDHA;VDAC2;MRPL15;MFN2;SUPV3L1;ATP6V1F;ETFDH;FXN;NDUFS8;ATP5F1B;DLST;MRPL34;MRPL35;ECHS1;COX6B1;NDUFA8;MTX2;MTRF1;ATP5ME;ALAS1;UQCR11;ACADM;COX7B;PHYH;HSD17B10;TOMM70;DLD;COX7C;NDUFV2;ACAA1;NDUFAB1;ATP5F1D;ATP5PD;ATP5F1C;HADHB;OPA1;TCIRG1;MRPL11;NDUFA5;NDUFV1;TIMM50;CS;IDH3G;HTRA2;MRPS12;ATP5MC3;SLC25A5;ATP6V1D;ATP5PF;ATP6V1G1;ATP5MC1;ATP6V1C1;MGST3;COX17;SUCLA2;NDUFS2;SDHC;COX5B;ATP6V0B;MRPS30;ATP1B1;OGDH;MRPS22;ATP6AP1;NDUFB4;NDUFS3;ATP6V1H;ATP6V0E1;NDUFS7;NDUFA1;COX6C;VDAC1;HSPA9;NDUFA3;NDUFS1;SURF1;COX15;ACADSB;NDUFB5;PDHX;OAT;AIFM1;ABCB7;POR;ECH1;RHOT1;LRPPRC;IDH2;ISCA1;GPI;UQCRC2;COX11;PDP1;CYB5A"
"HALLMARK_UV_RESPONSE_UP",0.924882629107981,1,0.0922597260527354,-0.183351286794591,-0.809660815678598,114,"SLC6A8;H2AX;NUP58;FURIN;DLG4;HMOX1;NAT1;RAB27A;LYN;MRPL23;CDC34;HYAL2;CHRNA5"
"HALLMARK_TGF_BETA_SIGNALING",0.763250883392226,0.931415057154119,0.0870515867946735,-0.227728226308143,-0.846388396429556,45,"SMAD7;FURIN;APC;SMAD3;BMPR1A;TGFBR1;SPTBN1;ID2;RHOA;PPP1CA;TGFB1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.64,0.858947368421053,0.0937465422491719,-0.246242455247527,-0.902322068914649,42,"ABCC1;PDLIM1;CDKN2D;OXSR1;MSRA;NDUFA6;CAT;TXNRD2;ATOX1;GPX3;SELENOS"
"HALLMARK_NOTCH_SIGNALING",0.592920353982301,0.829126080395116,0.0911073131586733,-0.284644230736079,-0.918714339938705,23,"PRKCA;FZD7;SAP30;PSEN2;PSENEN;CCND1;HES1;RBX1;ARRB1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.251968503937008,0.494245911568746,0.175204047558551,-0.259850280909489,-1.10329491184347,80,"TAGLN;SLC6A8;LOXL1;IGFBP4;PLAUR;ITGA5;TGFBR3;MCM7;LGALS1;FSTL3;EMP3;DST;CAPG;HTRA1;DAB2;ITGB1;ECM1;TPM4;FLNA;COLGALT1;ID2;ITGB3;MAGEE1;TGFB1"
"HALLMARK_SPERMATOGENESIS",0.226765799256506,0.485106382978723,0.179782316298324,-0.283614712606009,-1.1236508168767,59,"PHF7;KIF2C;AURKA;BUB1;EZH2;CDKN3;PCSK4;NEK2;CCNB2;DBF4;IP6K1;AGFG1;PRKAR2A;CDK1;TTK;MLLT10"
"HALLMARK_MYC_TARGETS_V1",3.89238003834328e-05,0.000496278454888768,0.557332238758646,-0.345731435585188,-1.64815118660971,198,"CDC20;ODC1;EXOSC7;TYMS;MRPL23;SRM;CCNA2;PSMD7;MCM7;AIMP2;CDC45;SF3A1;KPNA2;HNRNPR;H2AZ1;MAD2L1;SNRPA;CSTF2;CCT4;PSMA7;EIF4H;RPS2;RUVBL2;PPM1G;RAN;NHP2;RANBP1;RPL14;C1QBP;UBE2E1;PRDX3;EIF2S2;TRA2B;UBE2L3;HNRNPA2B1;EEF1B2;SLC25A3;SNRPD1;PSMD3;CCT5;POLE3;SSBP1;KPNB1;SNRPA1;VBP1;ACP1;HNRNPA3;RPLP0;BUB3;PHB2;RPS6;LSM7;VDAC3;RPL22;HNRNPC;PPIA;RPL6;HNRNPA1;PSMA4;RNPS1;POLD2;AP3S1;MCM5;HNRNPD;PSMD1;RPS3;NAP1L1;MRPS18B;ILF2;PRPF31;HNRNPU;FBL;ERH;EIF3D;EIF4A1;RFC4;XRCC6;ETF1;TARDBP;RPL18;PHB1;KARS1;SNRPD2;RPS10;PSMD14;TRIM28"
"HALLMARK_MITOTIC_SPINDLE",1.01539234987647e-05,0.000172616699479,0.593325476396405,-0.360032306284757,-1.67457307506168,175,"CENPE;CNTRL;CENPF;ANLN;INCENP;PRC1;RACGAP1;RHOF;KIF2C;AURKA;BUB1;DLGAP5;TPX2;PLK1;APC;BIRC5;KIF20B;PIF1;KIF15;ABL1;PCNT;CKAP5;ARHGAP10;MYH10;TOP2A;FSCN1;RASA1;MAP1S;NEK2;CNTROB;CCNB2;NUSAP1;LMNB1;CEP192;DYNC1H1;SAC3D1;NIN;SHROOM2;KIF11;DST;NDC80;BRCA2;KATNA1;PXN;KIF23;SASS6;CDK1;TTK;STK38L;ESPL1;KIF5B;UXT;FBXO5;BCAR1;SPTBN1;ARHGDIA;FLNA;MYO9B;KIF3B;MAPRE1;TUBA4A;ITSN1;FLNB"
"HALLMARK_E2F_TARGETS",6.25347126830216e-13,1.59463517341705e-11,0.921426003494898,-0.479707365830838,-2.27810580846379,197,"MKI67;H2AX;CENPE;CDC20;CDCA3;HUS1;CDCA8;RACGAP1;KIF2C;CDC25B;AURKA;HMGB2;BUB1B;DLGAP5;POLD1;DIAPH3;AURKB;CDC25A;PLK1;DCK;EZH2;LBR;CKS2;BIRC5;CDKN3;STMN1;ORC6;MLH1;ILF3;LYAR;SPC24;MMS22L;TOP2A;PTTG1;CCNB2;POLE;PSMC3IP;NCAPD2;KIF18B;MCM7;GINS4;ANP32E;LMNB1;DNMT1;TRIP13;DDX39A;TBRG4;HMGA1;UBE2S;KPNA2;PPM1D;H2AZ1;ASF1B;MAD2L1;RPA2;BRCA2;PSIP1;TK1;SPAG5;CDKN1B;CDK1;TACC3;RAD51AP1;ESPL1;HMGB3;RAN;RPA3;UBE2T;RNASEH2A;PAN2;CKS1B;RANBP1;STAG1;DSCC1;POLE4;TMPO;CENPM;TRA2B;RAD1;CCP110;ZW10;KIF22;RPA1;RRM2;PRPS1;PMS2;TUBG1"
"HALLMARK_G2M_CHECKPOINT",1.7651258792509e-17,9.00214198417958e-16,1.07686819261983,-0.534109937528546,-2.51195622112759,191,"MEIS1;MT2A;KNL1;MKI67;H2AX;CENPE;CDC20;CENPF;HUS1;KMT5A;INCENP;ODC1;PRC1;RAD54L;RACGAP1;KIF2C;CDC25B;AURKA;TROAP;BUB1;TPX2;AURKB;CDC25A;PLK1;PBK;EZH2;LBR;CKS2;BIRC5;CDKN3;CENPA;CCNF;FOXN3;KIF20B;GINS2;KIF15;STMN1;ORC6;NSD2;ABL1;CBX1;ILF3;TOP2A;PTTG1;CCNA2;NEK2;SMAD3;CCNB2;POLE;NUSAP1;DTYMK;SAP30;DBF4;LMNB1;CDC45;CASP8AP2;DDX39A;HMGA1;UBE2S;KPNA2;H2AZ1;MAD2L1;HIRA;RPA2;KIF11;HMGN2;NDC80;BRCA2;KATNA1;KIF23;ARID4A;MAP3K20;NUP50;CDKN1B;CDK1;TACC3;SLC7A5;TTK;UBE2C;E2F4;ESPL1;KIF5B;FBXO5;HMGB3;EXO1;WRN;MNAT1;CKS1B;FANCC"
