"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NFE2L1",0.0343565953521347,1.09823983325658,1,1,1
"OTUB1",0.0343565953521347,0.449367874217472,1,1,1
"SUMO1",0.0343565953521347,0.527504315010855,1,1,1
"TBCK",0.0343565953521347,1.48820023133364,1,1,1
"ZHX1",0.0343565953521347,0.702962017837383,1,1,1
"ZNF830",0.0351111819391301,2.21548367085972,0.714,0.5,1
"DGKE",0.0351668403844174,2.06523546822562,0.929,0.812,1
"HOXB6",0.0358749280330595,1.6270685353126,0.786,0.625,1
"PPP1R9B",0.0363469727124741,1.50008251625392,0.643,0.25,1
"AMIGO1",0.0367478455474706,1.01418222717725,0.643,0.312,1
"OBSCN",0.0371741614572831,3.20751199082056,0.857,0.688,1
"PPP1R26",0.0371758668309463,1.02258692178275,0.786,0.312,1
"CYB5D1",0.0375473357232632,1.50150203416057,0.786,0.438,1
"FAM227B",0.0377573167320708,2.16155100014682,0.786,0.5,1
"TMC5",0.0377573167320708,8.35823603384982,0.786,0.5,1
"H2BC12",0.0381989947578669,0.63271635601625,1,0.812,1
"MAPT",0.0382271471763258,2.83710457044812,0.714,0.312,1
"ACSL3",0.0382728484399011,0.906863343029845,1,0.938,1
"MAP2K7",0.0382728484399011,2.06728767216006,1,0.938,1
"PPP1R12B",0.0382728484399011,1.41929362707874,1,0.938,1
"ZNF395",0.0382728484399011,1.29911998159998,1,0.938,1
"ARHGAP1",0.0382728484399011,0.324364606542704,1,1,1
"MRPL20",0.0382728484399011,0.299974161689113,1,1,1
"QTRT1",0.0382728484399011,0.705337934153786,1,1,1
"RAB11FIP1",0.0382728484399011,0.720989435495495,1,1,1
"TMEM45A",0.0382728484399011,1.53771382070984,1,1,1
"TSC2",0.0382728484399011,0.689533710027896,1,1,1
"ZBED5",0.0382728484399011,0.748540611483227,1,1,1
"IRX3",0.0386657170210905,1.8476124755462,0.714,0.438,1
"GATA3",0.03872291580388,1.94436853035277,0.929,0.688,1
"GLI3",0.03872291580388,1.14979092842287,0.929,0.688,1
"CDR2L",0.0399606870111555,0.909945990727292,0.929,0.5,1
"DAPP1",0.0399606870111555,2.922434095135,0.857,0.562,1
"STK36",0.0401807764848225,1.97799170496397,0.714,0.375,1
"LRIF1",0.0406393844701316,1.10025988532321,1,0.625,1
"GDPD3",0.0407199908817522,1.30230359071549,0.643,0.25,1
"CABLES1",0.0407199908817522,2.18245149312782,0.571,0.312,1
"ABLIM1",0.0412059123517017,1.04954390651501,1,0.75,1
"MTG1",0.0412059123517017,1.28472844048883,1,0.75,1
"LDLRAD4",0.0413434424858434,4.29146882163072,0.643,0.312,1
"METTL25",0.0413605649875441,1.29037588893961,1,0.562,1
"SYBU",0.0413605649875441,0.854052069630713,0.929,0.625,1
"IRF5",0.0417374250611193,1.46743618068483,0.786,0.688,1
"ANKZF1",0.0418392523724378,0.917811386411062,1,0.875,1
"H4C9",0.0418392523724378,0.651812411247234,1,0.875,1
"ZBTB11",0.0418392523724378,0.902301155659277,1,0.875,1
"IPMK",0.0420541982190878,1.81185053930745,0.786,0.5,1
"USP45",0.0420541982190878,2.20889644894473,0.786,0.5,1
"IRF2BP2",0.042133828166756,0.676669353657511,1,0.688,1
